CpG Index,chrom,start_hg38,end_hg38,start_T2T,end_T2T,name,ΔmC,score,rel_to_TSS_hg38,rel_to_TSS_T2T,Region,strand
1,chr1,207318092,207318094,206583388,206583390,CpG_1,-0.03494590249705745,0,-3586,-3586,Upstream Flank,+
2,chr1,207318412,207318414,206583708,206583710,CpG_2,-0.10815978254933051,0,-3266,-3266,Upstream Flank,+
3,chr1,207318471,207318473,206583767,206583769,CpG_3,-0.0601369198340625,0,-3207,-3207,Upstream Flank,+
4,chr1,207318809,207318811,206584105,206584107,CpG_4,-0.12045866323878968,0,-2869,-2869,Upstream Flank,+
5,chr1,207318842,207318844,206584138,206584140,CpG_5,-0.03442823819206925,0,-2836,-2836,Upstream Flank,+
6,chr1,207318856,207318858,206584152,206584154,CpG_6,-0.07722300804121046,0,-2822,-2822,Upstream Flank,+
7,chr1,207318881,207318883,206584177,206584179,CpG_7,-0.10220980918450456,0,-2797,-2797,Upstream Flank,+
8,chr1,207318883,207318885,206584179,206584181,CpG_8,-0.08716786175355218,0,-2795,-2795,Upstream Flank,+
9,chr1,207318906,207318908,206584202,206584204,CpG_9,-0.07861334038327739,0,-2772,-2772,Upstream Flank,+
10,chr1,207318932,207318934,206584228,206584230,CpG_10,-0.08040656436332438,0,-2746,-2746,Upstream Flank,+
11,chr1,207318977,207318979,206584273,206584275,CpG_11,-0.07563756216522982,0,-2701,-2701,Upstream Flank,+
12,chr1,207319009,207319011,206584305,206584307,CpG_12,-0.07181840272858164,0,-2669,-2669,Upstream Flank,+
13,chr1,207319100,207319102,206584396,206584398,CpG_13,-0.045293252079561974,0,-2578,-2578,Upstream Flank,+
14,chr1,207319112,207319114,206584408,206584410,CpG_14,-0.10855317575969603,0,-2566,-2566,Upstream Flank,+
15,chr1,207319116,207319118,206584412,206584414,CpG_15,-0.026366447754294642,0,-2562,-2562,Upstream Flank,+
16,chr1,207319651,207319653,206584947,206584949,CpG_16,-0.13547211538689868,0,-2027,-2027,Upstream Flank,+
17,chr1,207319939,207319941,206585235,206585237,CpG_17,-0.07257352772393139,0,-1739,-1739,Upstream Flank,+
18,chr1,207320084,207320086,206585380,206585382,CpG_18,-0.08618160835291727,0,-1594,-1594,Upstream Flank,+
19,chr1,207320502,207320504,206585798,206585800,CpG_19,-0.015064506196536709,0,-1176,-1176,Upstream Flank,+
20,chr1,207320601,207320603,206585897,206585899,CpG_20,-0.07584177835894085,0,-1077,-1077,Upstream Flank,+
21,chr1,207320725,207320727,206586021,206586023,CpG_21,0.007440830732479142,7,-953,-953,Promoter,+
22,chr1,207320825,207320827,206586121,206586123,CpG_22,0.019018226691056517,19,-853,-853,Promoter,+
23,chr1,207320868,207320870,206586164,206586166,CpG_23,0.07844474329312069,78,-810,-810,Promoter,+
24,chr1,207320873,207320875,206586169,206586171,CpG_24,0.058586697293818824,59,-805,-805,Promoter,+
25,chr1,207320878,207320880,206586174,206586176,CpG_25,0.07748144442588734,77,-800,-800,Promoter,+
